batch_axis_names: 'data'
checkpointer.gc_loop_interval_seconds: 60
checkpointer.keep_every_n_steps: 100
checkpointer.keep_last_n: 1
checkpointer.klass: 'axlearn.common.checkpointer.Checkpointer'
checkpointer.save_policy.fn: 'axlearn.common.checkpointer.every_n_steps_policy'
checkpointer.save_policy.min_step: 1
checkpointer.save_policy.n: 100
checkpointer.storage.klass: 'axlearn.common.checkpointer.TensorStoreStateStorage'
checkpointer.storage.timeout_secs: 3600
evalers['eval_train'].eval_dtype: 'jax.numpy.float32'
evalers['eval_train'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['eval_train'].eval_policy.min_step: 1
evalers['eval_train'].eval_policy.n: 1000
evalers['eval_train'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['eval_train'].input.batcher.global_batch_size: 512
evalers['eval_train'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['eval_train'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['eval_train'].input.processor.eos_id: 2
evalers['eval_train'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['eval_train'].input.processor.max_source_len: 576000
evalers['eval_train'].input.processor.max_target_len: 200
evalers['eval_train'].input.processor.vocab_cfg.extra_ids: 0
evalers['eval_train'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['eval_train'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['eval_train'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['eval_train'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['eval_train'].input.source.download: False
evalers['eval_train'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['eval_train'].input.source.split: 'train_clean100[:512]+train_clean360[:512]+train_other500[:512]'
evalers['eval_train'].input.source.train_shuffle_buffer_size: 0
evalers['eval_train'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['eval_train'].metric_calculator.klass: 'axlearn.common.evaler.ModelSummaryAccumulator'
evalers['eval_train'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['eval_train'].metric_calculator.model_method: 'forward'
evalers['eval_train'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['eval_train'].summary_writer.write_every_n_steps: 1
evalers['eval_dev_clean'].eval_dtype: 'jax.numpy.float32'
evalers['eval_dev_clean'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['eval_dev_clean'].eval_policy.min_step: 1
evalers['eval_dev_clean'].eval_policy.n: 1000
evalers['eval_dev_clean'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['eval_dev_clean'].input.batcher.global_batch_size: 512
evalers['eval_dev_clean'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['eval_dev_clean'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['eval_dev_clean'].input.processor.eos_id: 2
evalers['eval_dev_clean'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['eval_dev_clean'].input.processor.max_source_len: 576000
evalers['eval_dev_clean'].input.processor.max_target_len: 200
evalers['eval_dev_clean'].input.processor.vocab_cfg.extra_ids: 0
